Class Name,Objects,Shallow Heap
java.lang.ref.Cleaner,1,16
java.lang.Throwable[],1,16
java.lang.module.ModuleDescriptor$1,1,16
jdk.internal.module.ModuleLoaderMap$Mapper,1,16
java.lang.String$CaseInsensitiveComparator,1,16
jdk.internal.misc.ScopedMemoryAccess,1,16
java.lang.ref.Cleaner$1,1,16
java.net.URI$1,1,16
jdk.internal.reflect.ReflectionFactory,1,16
java.lang.Runtime,1,16
jdk.internal.module.ArchivedBootLayer,1,16
java.util.Collections$EmptySet,1,16
java.util.Collections$EmptyList,1,16
java.net.URL$3,1,16
jdk.internal.module.ModuleTarget,1,16
java.lang.invoke.StringConcatFactory$3,1,16
java.lang.invoke.StringConcatFactory$2,1,16
java.lang.invoke.StringConcatFactory$1,1,16
jdk.internal.module.ModulePatcher,1,16
java.lang.reflect.ReflectAccess,1,16
java.lang.ref.Reference$1,1,16
java.util.HashMap$EntrySet,1,16
java.lang.Terminator$1,1,16
java.lang.invoke.MemberName$Factory,1,16
sun.net.www.protocol.file.Handler,1,16
java.net.URL$DefaultFactory,1,16
java.util.WeakHashMap$KeySet,1,16
java.security.cert.Certificate,0,0
java.util.concurrent.ConcurrentHashMap$Segment[],0,0
java.lang.RuntimeException,0,0
jdk.internal.module.ModuleBootstrap,0,0
jdk.internal.ref.CleanerFactory$1,0,0
jdk.internal.access.SharedSecrets,0,0
java.security.AccessController,0,0
jdk.internal.util.ArraysSupport,0,0
java.lang.invoke.DirectMethodHandle,0,0
java.lang.StackWalker$StackFrame,0,0
java.lang.AssertionStatusDirectives,0,0
java.lang.Byte$ByteCache,0,0
java.lang.Enum,0,0
java.util.Collections,0,0
java.lang.Integer$IntegerCache,0,0
java.util.ImmutableCollections$AbstractImmutableMap,0,0
java.util.Dictionary,0,0
java.lang.invoke.MutableCallSite,0,0
jdk.internal.access.JavaLangRefAccess,0,0
java.lang.ref.FinalReference,0,0
java.io.FilterOutputStream,0,0
java.lang.constant.Constable,0,0
java.util.Comparator,0,0
java.util.function.Function,0,0
java.nio.charset.spi.CharsetProvider,0,0
java.lang.invoke.MethodHandles,0,0
java.util.concurrent.ConcurrentMap,0,0
java.security.PrivilegedExceptionAction,0,0
java.util.HashMap$TreeNode,0,0
java.nio.charset.Charset,0,0
jdk.internal.module.Modules,0,0
java.lang.ref.Finalizer,0,0
java.lang.Cloneable,0,0
java.lang.Thread$UncaughtExceptionHandler,0,0
java.lang.invoke.ResolvedMethodName,0,0
java.util.function.Supplier,0,0
java.util.Map,0,0
java.net.URLStreamHandlerFactory,0,0
sun.launcher.LauncherHelper,0,0
java.lang.invoke.MethodHandleNatives$CallSiteContext,0,0
java.util.ImmutableCollections,0,0
java.util.HashMap$HashIterator,0,0
java.lang.LinkageError,0,0
jdk.internal.reflect.ConstructorAccessor,0,0
java.lang.ref.Reference,0,0
jdk.internal.loader.URLClassPath$FileLoader$1,0,0
java.lang.Record,0,0
java.io.FileCleanable,0,0
java.lang.reflect.Type,0,0
java.lang.ref.Cleaner$Cleanable,0,0
java.lang.ReflectiveOperationException,0,0
jdk.internal.access.JavaLangModuleAccess,0,0
java.util.HashMap$EntryIterator,0,0
java.util.AbstractMap,0,0
java.lang.IllegalArgumentException,0,0
jdk.internal.loader.URLClassPath$3,0,0
java.lang.reflect.Modifier,0,0
java.lang.reflect.AccessibleObject,0,0
jdk.internal.vm.vector.VectorSupport$VectorShuffle,0,0
jdk.internal.reflect.ConstantPool,0,0
jdk.internal.reflect.CallerSensitive,0,0
java.lang.StringLatin1,0,0
jdk.internal.access.JavaLangReflectAccess,0,0
jdk.internal.loader.Resource,0,0
java.util.LinkedHashMap$Entry,0,0
java.net.URLStreamHandler,0,0
java.util.List,0,0
java.lang.LiveStackFrameInfo,0,0
java.lang.ThreadDeath,0,0
jdk.internal.vm.PostVMInitHook,0,0
jdk.internal.reflect.MethodAccessorImpl,0,0
java.util.jar.Manifest,0,0
java.lang.invoke.LambdaForm,0,0
java.util.concurrent.locks.ReentrantLock,0,0
java.lang.Exception,0,0
jdk.internal.vm.PostVMInitHook$1,0,0
java.lang.reflect.RecordComponent,0,0
java.lang.reflect.GenericDeclaration,0,0
java.lang.module.ModuleReference,0,0
java.lang.invoke.MethodHandleNatives,0,0
java.util.ImmutableCollections$MapN$1,0,0
java.lang.reflect.Parameter,0,0
jdk.internal.reflect.MethodAccessor,0,0
sun.nio.cs.HistoricallyNamedCharset,0,0
java.security.SecureClassLoader$1,0,0
jdk.internal.access.JavaNetURLAccess,0,0
sun.util.locale.LocaleUtils,0,0
java.util.Arrays,0,0
jdk.internal.misc.OSEnvironment,0,0
java.nio.ByteBuffer,0,0
java.lang.Runnable,0,0
sun.security.util.Debug,0,0
java.lang.ClassCastException,0,0
java.util.AbstractList,0,0
java.util.concurrent.ConcurrentHashMap$CollectionView,0,0
sun.invoke.util.VerifyAccess,0,0
sun.nio.cs.Unicode,0,0
java.lang.Class$ReflectionData,0,0
java.lang.StringCoding,0,0
jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction,0,0
java.lang.invoke.TypeDescriptor$OfMethod,0,0
java.lang.invoke.MethodHandleStatics,0,0
sun.net.util.IPAddressUtil,0,0
jdk.internal.reflect.ConstructorAccessorImpl,0,0
java.lang.ClassNotFoundException,0,0
java.lang.AbstractStringBuilder,0,0
java.nio.charset.CharsetEncoder,0,0
java.lang.invoke.VolatileCallSite,0,0
java.io.FilterInputStream,0,0
java.lang.ClassLoader$ParallelLoaders,0,0
java.util.ImmutableCollections$MapN$MapNIterator,0,0
java.lang.StackWalker,0,0
jdk.internal.vm.vector.VectorSupport$Vector,0,0
java.security.SecureClassLoader,0,0
java.io.DefaultFileSystem,0,0
jdk.internal.vm.vector.VectorSupport,0,0
java.util.Map$Entry,0,0
java.lang.reflect.Field,0,0
java.lang.ArrayStoreException,0,0
java.lang.Comparable,0,0
jdk.internal.reflect.DelegatingClassLoader,0,0
java.lang.NoClassDefFoundError,0,0
java.lang.reflect.AnnotatedElement,0,0
java.lang.reflect.Constructor,0,0
java.lang.Long$LongCache,0,0
java.util.concurrent.locks.Lock,0,0
java.lang.VersionProps,0,0
java.util.Set,0,0
java.util.concurrent.locks.AbstractOwnableSynchronizer,0,0
jdk.internal.misc.VM,0,0
java.lang.StackTraceElement,0,0
java.security.Principal,0,0
java.lang.invoke.MethodHandle,0,0
java.lang.invoke.CallSite,0,0
jdk.internal.module.ModuleHashes$HashSupplier,0,0
jdk.internal.module.ModuleBootstrap$Counters,0,0
java.lang.IllegalMonitorStateException,0,0
jdk.internal.loader.ClassLoaders,0,0
Base,0,0
jdk.internal.util.SystemProps,0,0
java.util.random.RandomGenerator,0,0
java.lang.Math,0,0
java.util.ImmutableCollections$AbstractImmutableList,0,0
java.lang.CharSequence,0,0
jdk.internal.misc.UnsafeConstants,0,0
java.net.URLClassLoader,0,0
java.lang.Appendable,0,0
jdk.internal.reflect.FieldAccessor,0,0
java.lang.Float,0,0
jdk.internal.loader.BootLoader,0,0
java.io.Writer,0,0
java.security.PermissionCollection,0,0
java.util.concurrent.ThreadFactory,0,0
java.util.Objects,0,0
jdk.internal.access.JavaSecurityAccess,0,0
java.security.UnresolvedPermission,0,0
jdk.internal.access.JavaNioAccess,0,0
jdk.internal.loader.BuiltinClassLoader,0,0
java.lang.SecurityManager,0,0
jdk.internal.ref.PhantomCleanable,0,0
java.lang.StackStreamFactory$AbstractStackWalker,0,0
java.lang.Iterable,0,0
java.lang.StackFrameInfo,0,0
java.io.InputStream,0,0
java.lang.Number,0,0
java.util.concurrent.ConcurrentHashMap$CounterCell,0,0
java.lang.Throwable,0,0
java.util.function.BiFunction,0,0
java.lang.reflect.Executable,0,0
jdk.internal.access.JavaLangAccess,0,0
java.lang.invoke.MemberName,0,0
java.lang.invoke.TypeDescriptor$OfField,0,0
java.lang.AutoCloseable,0,0
java.lang.BootstrapMethodError,0,0
java.util.Queue,0,0
java.nio.Buffer,0,0
jdk.internal.misc.Signal$Handler,0,0
java.lang.reflect.Member,0,0
java.util.Iterator,0,0
jdk.internal.misc.CDS,0,0
java.lang.System,0,0
java.lang.Double,0,0
java.util.concurrent.ConcurrentHashMap$Segment,0,0
java.lang.PublicMethods$MethodList,0,0
java.util.concurrent.locks.LockSupport,0,0
java.util.AbstractCollection,0,0
java.io.FileSystem,0,0
java.util.RandomAccess,0,0
java.lang.ref.SoftReference,0,0
java.lang.StackOverflowError,0,0
java.io.Closeable,0,0
jdk.internal.reflect.NativeConstructorAccessorImpl,0,0
java.util.KeyValueHolder,0,0
Own,0,0
java.lang.invoke.MethodType,0,0
java.lang.invoke.TypeDescriptor,0,0
java.lang.invoke.StringConcatFactory,0,0
java.lang.module.ModuleFinder,0,0
java.lang.Error,0,0
jdk.internal.loader.URLClassPath$Loader,0,0
jdk.internal.reflect.MagicAccessorImpl,0,0
java.security.SecureClassLoader$DebugHolder,0,0
java.lang.LiveStackFrame,0,0
java.util.Deque,0,0
java.util.concurrent.ConcurrentHashMap$ReservationNode,0,0
sun.net.www.ParseUtil,0,0
java.security.AllPermission,0,0
sun.net.util.URLUtil,0,0
java.lang.PublicMethods$Key,0,0
java.lang.ref.PhantomReference,0,0
jdk.internal.reflect.Reflection,0,0
java.lang.Character$CharacterCache,0,0
java.util.Collection,0,0
jdk.internal.loader.AbstractClassLoaderValue,0,0
jdk.internal.loader.ClassLoaderHelper,0,0
java.io.Serializable,0,0
java.lang.invoke.VarHandle,0,0
java.lang.CharacterData,0,0
jdk.internal.ref.CleanerFactory,0,0
java.lang.StringConcatHelper,0,0
sun.security.action.GetPropertyAction,0,0
java.io.ByteArrayInputStream,0,0
jdk.internal.access.JavaIOFileDescriptorAccess,0,0
java.util.ImmutableCollections$AbstractImmutableCollection,0,0
java.lang.reflect.Method,0,0
java.lang.InternalError,0,0
sun.nio.ByteBuffered,0,0
java.lang.constant.ConstantDesc,0,0
java.security.Guard,0,0
jdk.internal.vm.vector.VectorSupport$VectorMask,0,0
java.lang.Class$Atomic,0,0
java.io.Flushable,0,0
jdk.internal.util.SystemProps$Raw,0,0
jdk.internal.util.Preconditions,0,0
java.lang.invoke.ConstantCallSite,0,0
jdk.internal.vm.vector.VectorSupport$VectorPayload,0,0
java.util.AbstractSet,0,0
java.security.Permission,0,0
java.util.ImmutableCollections$AbstractImmutableSet,0,0
java.security.PrivilegedAction,0,0
jdk.internal.reflect.FieldAccessorImpl,0,0
java.lang.Terminator,0,0
jdk.internal.access.JavaNetUriAccess,0,0
java.lang.StringBuffer,0,0
jdk.internal.ref.Cleaner,0,0
java.io.OutputStream,0,0
java.lang.annotation.Annotation,0,0
java.lang.Void,0,0
java.io.FileInputStream$1,0,0
jdk.internal.util.StaticProperty,0,0
java.security.BasicPermission,0,0
java.lang.ref.WeakReference,0,0
java.lang.Short$ShortCache,0,0
jdk.internal.invoke.NativeEntryPoint,0,0
jdk.internal.reflect.UnsafeFieldAccessorImpl,0,0
jdk.internal.reflect.UnsafeStaticFieldAccessorImpl,0,0
